Title,Years Exp.,Months Exp.,State,Main Source Of Income?,Employment Status,Marginalized,2018 net income,2019 Salary,Expected 2019 Net Income,Rate - Per hour,Rate - Cent per word,Issues,Miscategorized,Do you believe the game industry should unionize?,Should game writers work with a pre-existing labor organization?,,
"Game Writer, Narrative Designer",5,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,5000,,3000,,,"Low pay, Lack of benefits/healthcare",No,Yes,Maybe,,
Editor,5,,Minnesota (MN),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,50000,52000,52000,,,Crunch (working over 40 hours a week),No,Yes,Yes,,
Game Writer,2,,Indiana (IN),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"$3,000",,"$3,000",$10,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Your work was not credited",Maybe,Yes,Maybe,,
"Game Writer, Narrative Designer, Localization",3,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"65,000",,,45,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Delayed/missing payments",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Contributing/ Jr. / Associate Game Writer, Localization",5,,Pennsylvania (PA),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"$10,000",,"$3,000",,5,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",Yes,Yes,Maybe,,
"Game Writer, Journalist, Critic",5,,I wish not to answer.,Yes,Solo developer - You work primarily on your own projects with no other permanent paid team,Yes,"$2,500",,0,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Editors ghosting on me after sending in a first draft",No,Yes,Maybe,,
"Game Writer, Editor, Journalist",8,,Oregon (OR),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,13500,,20000,75,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
Journalist,2,,Indiana (IN),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,3785,,15000,,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",Yes,Yes,Maybe,,
"Game Writer, Narrative Designer",6,,Texas (TX),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,0,,40000,60,,You have not personally experienced any major issues as a game writer,No,Yes,Maybe,,
Game Writer,1,,Connecticut (CT),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,1200,,2400,15,,You have not personally experienced any major issues as a game writer,No,Yes,Yes,,
Narrative Designer,10-15,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"200,000","200,000","200,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
Journalist,8,,Texas (TX),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,,,,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
"Game Writer, Narrative Designer",15-20 ,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,12000,,50000,65,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",Yes,Yes,No - We should form our own specific guild or union for U.S game writers,,
Game Writer,15-20 ,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,83564,98000,85000,47,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",Maybe,Yes,Maybe,,
"Game Writer, Narrative Designer",4,,Illinois (IL),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,15000,,20000,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
Game Writer,15-20 ,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,95000,160000,160000,90,,You have not personally experienced any major issues as a game writer,No,Yes,Maybe,,
Game Writer,2,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,11500, ,11900,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",Yes,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer, Narrative Designer",4,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"70,016","92,000","70,016",,,"Crunch (working over 40 hours a week), Low pay, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,Maybe,,
"Game Writer, Contributing/ Jr. / Associate Game Writer, Narrative Designer, Editor",2,,Pennsylvania (PA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,"$38,000",,"$45,000",,,"Crunch (working over 40 hours a week), Lack of benefits/healthcare, Lack of remote jobs, Your work was not credited",Yes,Yes,Maybe,,
